<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДетскийМир;D;20190419;000000;88.6;89.2;88.14;89.1;247670;0
ДетскийМир;D;20190422;000000;89.16;89.48;88.7;89.38;142750;0
ДетскийМир;D;20190423;000000;89.4;89.7;88.92;89.36;663540;0
ДетскийМир;D;20190424;000000;89.38;89.6;88.74;89.06;120170;0
ДетскийМир;D;20190425;000000;89.04;89.3;88.26;88.76;222600;0
ДетскийМир;D;20190426;000000;88.88;88.94;88.2;88.4;182140;0
ДетскийМир;D;20190429;000000;88.78;89.6;87.72;88.14;665610;0
ДетскийМир;D;20190430;000000;88.48;88.58;87.9;88.44;270710;0
ДетскийМир;D;20190502;000000;88.16;88.58;88.16;88.24;163300;0
ДетскийМир;D;20190503;000000;88.34;88.6;88.26;88.34;105760;0
ДетскийМир;D;20190506;000000;88.3;89.6;88.2;88.88;173990;0
ДетскийМир;D;20190507;000000;88.94;90.36;88.92;89.72;263180;0
ДетскийМир;D;20190508;000000;89.88;90.18;88.5;88.92;445950;0
ДетскийМир;D;20190510;000000;89.22;89.22;88.42;88.86;90120;0
ДетскийМир;D;20190513;000000;88.9;89.36;88.42;89.12;163530;0
ДетскийМир;D;20190514;000000;89.32;89.36;88.6;88.88;214610;0
ДетскийМир;D;20190515;000000;89.22;89.56;88.72;89.42;276030;0
ДетскийМир;D;20190516;000000;89.46;90.2;89.4;89.88;165330;0
ДетскийМир;D;20190517;000000;89.84;90.1;89.42;89.8;96800;0
ДетскийМир;D;20190520;000000;90.1;90.3;89.76;89.86;380880;0
ДетскийМир;D;20190521;000000;90.06;90.28;89.9;89.96;436220;0
ДетскийМир;D;20190522;000000;90.18;90.18;89.22;89.68;767070;0
ДетскийМир;D;20190523;000000;89.66;90.18;89.4;89.8;1074940;0
ДетскийМир;D;20190524;000000;86.5;86.6;85.52;85.58;1827250;0
ДетскийМир;D;20190527;000000;85.8;85.98;85.04;85.2;448350;0
ДетскийМир;D;20190528;000000;85.24;85.74;85.02;85.74;590700;0
ДетскийМир;D;20190529;000000;85.68;85.68;85.08;85.32;380760;0
ДетскийМир;D;20190530;000000;85.5;85.5;85;85.3;607350;0
ДетскийМир;D;20190531;000000;85.4;85.46;84.6;84.7;487730;0
