<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОР ао;D;20190708;000000;57;57.95;56.85;57.95;113110;0
ОР ао;D;20190709;000000;57.9;72.95;57.5;58.95;166130;0
ОР ао;D;20190710;000000;59;59;57.3;58.3;110700;0
ОР ао;D;20190711;000000;58.35;58.85;57.6;58.85;151540;0
ОР ао;D;20190712;000000;58.9;58.9;57.35;58.5;66560;0
ОР ао;D;20190715;000000;58.2;58.8;57.6;58.25;73030;0
ОР ао;D;20190716;000000;59.1;60.1;58.25;58.4;87230;0
ОР ао;D;20190717;000000;56.2;62.5;56.2;58.2;62450;0
ОР ао;D;20190718;000000;58.45;60.9;57.85;58.8;60400;0
ОР ао;D;20190719;000000;58.05;61;56.35;57.8;151000;0
ОР ао;D;20190722;000000;56.55;57.85;56.4;57.1;27230;0
ОР ао;D;20190723;000000;56.95;58;56.45;57.95;99930;0
ОР ао;D;20190724;000000;57.9;60.45;57.55;60.3;199780;0
ОР ао;D;20190725;000000;60.75;61.8;59.05;60.25;106920;0
ОР ао;D;20190726;000000;59.75;63.2;59.75;62.2;151700;0
ОР ао;D;20190729;000000;62.45;64.5;62.45;64.1;148020;0
ОР ао;D;20190730;000000;64.25;68;60.25;63.9;155640;0
ОР ао;D;20190731;000000;64.35;64.35;62.05;63;95770;0
ОР ао;D;20190801;000000;63.45;63.45;60.8;62.45;94050;0
ОР ао;D;20190802;000000;62;62;59.45;60.8;86570;0
ОР ао;D;20190805;000000;61.25;61.25;58.3;59;86260;0
ОР ао;D;20190806;000000;59;59;57.2;59;80080;0
ОР ао;D;20190807;000000;59.15;59.15;57.55;58.95;87660;0
ОР ао;D;20190808;000000;58.95;59.8;57.65;58.1;86780;0
ОР ао;D;20190809;000000;58.6;58.8;57.3;58.8;73820;0
ОР ао;D;20190812;000000;58.75;58.75;57.7;58.3;85850;0
ОР ао;D;20190813;000000;58.35;58.5;57.2;58.05;130840;0
ОР ао;D;20190814;000000;57.7;58.5;57.5;58.3;104460;0
ОР ао;D;20190815;000000;59;81.15;58.3;60;678190;0
ОР ао;D;20190816;000000;60;60;56.55;57.8;199290;0
ОР ао;D;20190819;000000;58.45;58.95;56.1;56.4;126920;0
ОР ао;D;20190820;000000;56.95;57.3;55.3;55.45;114170;0
ОР ао;D;20190821;000000;55.9;55.9;54.8;55.15;114250;0
ОР ао;D;20190822;000000;55.45;55.45;52.65;53.4;132010;0
ОР ао;D;20190823;000000;53.3;53.7;52.15;52.9;76360;0
ОР ао;D;20190826;000000;52.55;53;47.15;50;360220;0
ОР ао;D;20190827;000000;49.6;49.9;47.75;47.95;170970;0
ОР ао;D;20190828;000000;48.1;48.95;47.65;48.3;129480;0
ОР ао;D;20190829;000000;48.4;48.7;47.5;47.8;94610;0
ОР ао;D;20190830;000000;48;48.15;46.75;47.5;111960;0
ОР ао;D;20190902;000000;47.5;47.85;46.75;47.5;60710;0
ОР ао;D;20190903;000000;47.6;48;47.15;47.85;130850;0
