<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXCN;D;20150825;000000;6105.8800000;6237.0200000;6097.6500000;6220.3400000;1561446989
RI.MOEXCN;D;20150826;000000;6219.1200000;6251.8200000;6154.6000000;6208.2100000;1409509903
RI.MOEXCN;D;20150827;000000;6265.1900000;6289.7800000;6231.6200000;6266.2300000;1496119044
RI.MOEXCN;D;20150828;000000;6265.2100000;6365.4200000;6227.3000000;6365.4200000;1548528849
RI.MOEXCN;D;20150831;000000;6336.4500000;6435.0000000;6323.2200000;6415.9500000;915790267
RI.MOEXCN;D;20150901;000000;6417.6100000;6417.6100000;6268.4400000;6299.3300000;1621684503
RI.MOEXCN;D;20150902;000000;6295.3000000;6347.0200000;6268.7700000;6275.1000000;1407608857
RI.MOEXCN;D;20150903;000000;6281.9300000;6332.3800000;6280.7500000;6316.6700000;1216518336
RI.MOEXCN;D;20150904;000000;6314.2200000;6436.8300000;6300.3000000;6429.0700000;958307115
RI.MOEXCN;D;20150907;000000;6383.9000000;6443.0200000;6382.7300000;6408.6200000;1130481519
RI.MOEXCN;D;20150908;000000;6425.2100000;6442.2700000;6371.5100000;6371.5100000;1095163376
RI.MOEXCN;D;20150909;000000;6376.9800000;6382.9200000;6330.2600000;6349.1900000;1864284194
RI.MOEXCN;D;20150910;000000;6342.8400000;6360.3900000;6290.9400000;6301.1300000;2190882659
RI.MOEXCN;D;20150911;000000;6300.8700000;6340.3100000;6290.8400000;6299.9800000;1629683130
RI.MOEXCN;D;20150914;000000;6301.9900000;6331.7200000;6283.1400000;6304.9200000;1157911855
RI.MOEXCN;D;20150915;000000;6303.2500000;6327.2100000;6250.6200000;6264.9400000;993180376
RI.MOEXCN;D;20150916;000000;6267.8400000;6295.4500000;6257.3500000;6265.9000000;2530633465
RI.MOEXCN;D;20150917;000000;6265.5800000;6304.6500000;6240.9800000;6271.0700000;1019457070
RI.MOEXCN;D;20150918;000000;6288.6500000;6312.0300000;6241.5100000;6255.2500000;1436985860
RI.MOEXCN;D;20150921;000000;6258.7800000;6303.4300000;6240.0500000;6281.7500000;459028812
RI.MOEXCN;D;20150922;000000;6288.0000000;6288.9400000;6203.4000000;6251.3300000;1288284864
