The International Stock Exchange (TISE); XS0795156719; 11.11.2016); 27.08.2021); Итальянская ФБ - EuroTLX; XS1822383094; SCFL0623; GAZP0837;;;;The International Stock Exchange (TISE)
Швейцарская ФБ; XS0863439161; 19.08.2016); 21.09.2015); ALFA0430; XS1589106910; PLZL0223; XS0191754729;;;;Швейцарская ФБ
Берлинская биржа; XS0833264335; Франкфуртская ФБ; 13.11.2020); CHMF0924; XS0304274599; XS1603335610; XS0559915961;;;;Берлинская биржа
Сингапурская ФБ; XS0886632685; Берлинская биржа; 05.11.2015); GAZP0326; GAZP0325; EVRZ0323; ALFA0421;;;;Сингапурская ФБ
РТС; XS0885873322; 18.05.2016); 15.11.2022); STLF0623; XS1964558339; GAZP0327; XS0935311240;;;;РТС
; XS1510534677;;;;;;;;;;
; GAZ17;;;;;;;;;;
; СПБ Биржа;;;;;;;;;;
; XS1577961516;;;;;;;;;;
; GAZ171;;;;;;;;;;
; 22.10.2021);;;;;;;;;;
; 25.06.2021);;;;;;;;;;
; XS1752568144;;;;;;;;;;
; XS1713474325;;;;;;;;;;
; XS1759801720;;;;;;;;;;
; XS1833629253;;;;;;;;;;
; XS1859436070;;;;;;;;;;
; XS1873963794;;;;;;;;;;
; XS1951067039;;;;;;;;;;
; XS1943597994;;;;;;;;;;
; XS1964558339;;;;;;;;;;
; XS1713473608;;;;;;;;;;
; XS1843437036;;;;;;;;;;
; XS1843435337;;;;;;;;;;
; XS1843434959;;;;;;;;;;
; XS2010044621;;;;;;;;;;
; XS2010040397;;;;;;;;;;
; XS2099039542;;;;;;;;;;
; XS2116222451;;;;;;;;;;
; XS2010030919;;;;;;;;;;
; XS2194483769;;;;;;;;;;
; XS2134628069;;;;;;;;;;
; XS2249778247;;;;;;;;;;
; XS2361751204;;;;;;;;;;
; 10.11.2021);;;;;;;;;;
; XS2384475930;;;;;;;;;;
; XS2388458403;;;;;;;;;;
; XS2408033210 (Третий уровень;;;;;;;;;;
; XS2278534099;;;;;;;;;;
; RZD17;;;;;;;;;;
; RZD21;;;;;;;;;;
; 30.04.2021);;;;;;;;;;
; XS0974469206;;;;;;;;;;
; Франкфуртская ФБ;;;;;;;;;;
; XS0230683111;;;;;;;;;;
; XS0299183250;;;;;;;;;;
; XS0630950870;;;;;;;;;;
; XS0775984213;;;;;;;;;;
; XS0772835285;;;;;;;;;;
; XS1503160571 (Третий уровень);;;;;;;;;;
; 29.12.2021);;;;;;;;;;
; XS0640334768;;;;;;;;;;
; XS0841677387 (Третий уровень;;;;;;;;;;
; XS0938341780;;;;;;;;;;
; XS1076087375;;;;;;;;;;
; VTB14;;;;;;;;;;
; XS1272198265 (Третий уровень);;;;;;;;;;
; XS1807420937;;;;;;;;;;
; XS1859436401;;;;;;;;;;
; RZD19;;;;;;;;;;
; XS2183144810;;;;;;;;;;
; XS2392969395;;;;;;;;;;
; XS2418281742;;;;;;;;;;
; XS1086084123 (Третий уровень;;;;;;;;;;
; XS0616784509;;;;;;;;;;
; XS0288690539;;;;;;;;;;
; Nasdaq Nordic;;;;;;;;;;
; CH0141533403;;;;;;;;;;
; XS0940730228;;;;;;;;;;
; XS0995845566;;;;;;;;;;
; XS1590566193;;;;;;;;;;
; XS1708322133;;;;;;;;;;
; XS1762858428;;;;;;;;;;
; XS1772800204;;;;;;;;;;
; XS1801889830;;;;;;;;;;
; XS1903464391;;;;;;;;;;
; XS2020622887;;;;;;;;;;
; XS2010044548;;;;;;;;;;
; XS2010043656;;;;;;;;;;
; XS2113968148;;;;;;;;;;
; XS2291914971;;;;;;;;;;
; XS2393688598;;;;;;;;;;
; XS2415466676;;;;;;;;;;
; XS0830191234 (Третий уровень;;;;;;;;;;
; XS1506500039 (Третий уровень);;;;;;;;;;
; RZD20;;;;;;;;;;
; XS0993279958 (Третий уровень;;;;;;;;;;
; XS0238468457;;;;;;;;;;
; XS0238091507;;;;;;;;;;
; XS0275728557;;;;;;;;;;
; XS0808636913;;;;;;;;;;
; XS0944741833;;;;;;;;;;
; XS0981028177;;;;;;;;;;
; XS1571345583;;;;;;;;;;
; 26.10.2021);;;;;;;;;;
; ALF17;;;;;;;;;;
; XS0869792928;;;;;;;;;;
; CH0205819441;;;;;;;;;;
; XS1352979923 (Третий уровень);;;;;;;;;;
; XS1379311761 (Третий уровень);;;;;;;;;;
; RZD191;;;;;;;;;;
; XS0426517701;;;;;;;;;;
; XS0848163456;;;;;;;;;;
; XS2045847295;;;;;;;;;;
; XS2123084639;;;;;;;;;;
; XS0311369978;;;;;;;;;;
; XS0312572984;;;;;;;;;;
